date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:49	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	http://jailbreak.psp2.dev/robots.txt		(from )
12:38:50	16010/16010	---M-Z	200	added ('OK')	text/html	etag:W/%2263c1e44b-3e8a%22	http://jailbreak.psp2.dev/	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/index.html	(from )
12:38:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jul%202024%2015:38:14%20GMT	http://guide.psp2.dev/	F:/Meu%20Site/PSVITA/guide.psp2.dev/index.html	(from http://jailbreak.psp2.dev/)
12:38:50	18913/18913	---M--	200	added ('OK')	image/png	etag:%2263c1e44b-49e1%22	http://jailbreak.psp2.dev/watermark.png	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/watermark.png	(from http://jailbreak.psp2.dev/)
12:38:50	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jul%202024%2015:38:14%20GMT	http://jailbreak.psp2.dev/go	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/go	(from http://jailbreak.psp2.dev/)
12:38:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jul%202024%2015:38:15%20GMT	http://guide.psp2.dev/robots.txt		(from http://jailbreak.psp2.dev/)
12:38:51	249/249	---M--	200	added ('OK')	text/html	etag:%2263c1e44b-f9%22	http://jailbreak.psp2.dev/go/	F:/Meu%20Site/PSVITA/jailbreak.psp2.dev/go/index.html	(from http://jailbreak.psp2.dev/)
12:38:51	7517/7517	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2023:02:04%20GMT	http://henkaku.xyz/	F:/Meu%20Site/PSVITA/henkaku.xyz/index.html	(from http://jailbreak.psp2.dev/)
12:38:51	5330/5330	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2015:38:15%20GMT	http://henkaku.xyz/robots.txt		(from http://jailbreak.psp2.dev/)
12:38:51	5905/5905	---M-Z	200	added ('OK')	application/javascript	etag:%2287a4acd3d97070b59c6cfb2de9c6b947%22	http://henkaku.xyz/cdn-cgi/apps/head/Cqo7OFqvC8y1XP5j1Enwbpkh_gk.js	F:/Meu%20Site/PSVITA/henkaku.xyz/cdn-cgi/apps/head/Cqo7OFqvC8y1XP5j1Enwbpkh_gk.js	(from http://henkaku.xyz/)
12:38:52	128939/128939	---M-Z	200	added ('OK')	text/css	etag:W/%225b81dfec-1f7ab%22	http://henkaku.xyz/css/main.css	F:/Meu%20Site/PSVITA/henkaku.xyz/css/main.css	(from http://henkaku.xyz/)
12:38:54	18092/18092	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2023:02:04%20GMT	http://henkaku.xyz/showcase/	F:/Meu%20Site/PSVITA/henkaku.xyz/showcase/index.html	(from http://henkaku.xyz/)
12:38:54	7130/7130	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2023:02:04%20GMT	http://henkaku.xyz/developer/	F:/Meu%20Site/PSVITA/henkaku.xyz/developer/index.html	(from http://henkaku.xyz/)
12:38:54	14116/14116	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2023:02:04%20GMT	http://henkaku.xyz/usage/	F:/Meu%20Site/PSVITA/henkaku.xyz/usage/index.html	(from http://henkaku.xyz/)
12:38:54	3446/3446	---M-Z	200	added ('OK')	text/html	etag:W/%225b81dfe5-d76%22	http://henkaku.xyz/go/	F:/Meu%20Site/PSVITA/henkaku.xyz/go/index.html	(from http://henkaku.xyz/)
